Id,Label,timeset,d0,Degree,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,pageranks,Weighted Degree,Authority,Hub,componentnumber
CTO Office,CTO Office,,9.52,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
Open,Open,,345.809998,22,0.004329,1,2,0.923077,0.958333,0.985507,1,0,0.406287,11.192612,0.70123,0.69818,0
Legal Eagle Office,Legal Eagle Office,,9.51,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
PA Office,PA Office,,9.51,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
CEO Office,CEO Office,,21.620001,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
CFO Office,CFO Office,,9.25,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
Sales Arena,Sales Arena,,39.790001,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.751626,0.14668,0.147334,0
Swedese,Swedese,,26.82,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
Offecct,Offecct,,25.059999,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
WC1,WC1,,2.21,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.354919,0.14668,0.147334,0
WC3,WC3,,2.7,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.354919,0.14668,0.147334,0
VR Room,VR Room,,25.459999,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
HR Office,HR Office,,9.3,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
WC2,WC2,,2.04,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.354919,0.14668,0.147334,0
WC4,WC4,,5.24,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.354919,0.14668,0.147334,0
Copy,Copy,,12.42,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.489138,0.14668,0.147334,0
EFG,EFG,,41.900002,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
Storage,Storage,,0.82,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.354919,0.14668,0.147334,0
Marketing,Marketing,,43.32,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.492028,0.14668,0.147334,0
Recovery,Recovery,,3.01,1,0,0,3,0.489796,0.506944,0,0.209728,0,0.021682,0.489138,0.14668,0.147334,0
Entrance1,Entrance1,,16.98,2,0,0,3,0.510638,0.534722,0.083333,0.221926,2,0.041924,1.261401,0.153453,0.15414,0
Entrance2,Entrance2,,17.59,3,0.333333,1,3,0.521739,0.555556,0.083333,0.280499,1,0.056365,2.261401,0.194841,0.195407,0
Revision,Revision,,1.16,2,1,1,3,0.510638,0.534722,0,0.269225,1,0.037658,1.731285,0.187739,0.188272,0
Stairs1,Stairs1,,14.32,1,0,0,4,0.342857,0.364583,0,0.047638,2,0.023835,0.489138,0.032389,0.032242,0
Stairs2,Stairs2,,15.27,1,0,0,4,0.347826,0.371528,0,0.059497,1,0.021976,0.489138,0.041059,0.040938,0
