Door Schedule,,,,
Mark,From Room: Number,To Room: Number,Rough Width,Rough Height
,,,,
632296,1,16,1015,2102
642739,2,16,1015,2102
650548,3,16,1015,2102
196335,4,16,1015,2102
654502,6,16,1015,2102
320281,7,16,970,1680
320293,7,16,970,1680
655552,8,16,1015,2102
652881,9,16,1015,2102
542383,10,16,810,1900
542515,12,16,810,1900
220106,14,16,1015,2102
655059,16,5,1015,2102
542469,16,11,810,1900
542543,16,13,810,1900
652352,16,15,1010,2100
655889,16,17,1015,2102
542601,16,20,810,1900
214456,18,16,1015,2102
393859,19,16,1010,2100
232518,21,16,1624,2062
544405,21,22,1010,2100
232297,23,16,1624,2062
544379,23,24,1010,2100
1011225,23,25,1980,2190
479881,25,16,1510,2100
Grand total: 26,,,,
